,Actor Ranking,Title,Year,Genre,Rating
3001,41,Zwei Brüder,(2004),"Adventure, Drama, Family",7.0
3002,41,I Am You - Mörderische Sehnsucht,(2009),"Drama, Thriller",6.4
3003,41,The Quarry,(2020),"Crime, Mystery, Thriller",5.4
3004,41,Swinging Summer - Willkommen in den 70ern,(2018),"Comedy, Drama",5.6
3005,41,Hateship Loveship,(2013),"Drama, Romance",6.1
3006,41,Results, (2015),"Comedy, Romance",5.4
3007,41,Death Defying Acts,(2007),"Drama, History, Romance",5.8
3009,41,Winged Creatures,(2008),"Crime, Drama",5.6
3010,41,First Snow,(2006),"Drama, Thriller",6.2
3012,41,"Liebling, bleib so wie ich bin!",(1996),"Comedy, Fantasy, Romance",6.4
3014,41,The Australian Job,(2002),"Action, Comedy, Crime",6.0
3015,41,Till Human Voices Wake Us,(2002),"Drama, Romance",6.3
3016,41,A Slipping-Down Life,(1999),"Drama, Music, Romance",6.1
3017,41,33 Postcards,(2011),"Crime, Drama, Music",6.1
3018,41,Zeit der Grausamkeit,(1998),"Drama, Sci-Fi",3.8
3019,41,My Forgotten Man,(1993),"Biography, Drama",5.1
3020,41,Hunting,(1990),Drama,4.6
3021,41,A Backyard Story,(2010),Drama,8.4
3022,41,Heaven Tonight,(1989),"Drama, Music",5.9
3023,41,Friday on My Mind,(1990),Thriller,5.5
3024,42,Pulp Fiction,(1994),"Crime, Drama",8.9
3025,42,Avengers: Endgame,(2019),"Action, Adventure, Drama",8.4
3026,42,Jurassic Park,(1993),"Action, Adventure, Sci-Fi",8.2
3027,42,Inglourious Basterds,(2009),"Adventure, Drama, War",8.3
3028,42,GoodFellas - Drei Jahrzehnte in der Mafia,(1990),"Biography, Crime, Drama",8.7
3029,42,Django Unchained,(2012),"Drama, Western",8.4
3030,42,The Hateful 8,(2015),"Crime, Drama, Mystery",7.8
3031,42,Avengers: Infinity War,(2018),"Action, Adventure, Sci-Fi",8.4
3032,42,Kingsman: The Secret Service,(2014),"Action, Adventure, Comedy",7.7
3033,42,Star Wars - Episode IX: Der Aufstieg Skywalkers,(2019),"Action, Adventure, Fantasy",6.5
3034,42,Iron Man,(2008),"Action, Adventure, Sci-Fi",7.9
3035,42,The Avengers,(2012),"Action, Adventure, Sci-Fi",8.0
3036,42,Star Wars: Episode I - Die dunkle Bedrohung,(1999),"Action, Adventure, Fantasy",6.5
3038,42,True Romance,(1993),"Crime, Drama, Romance",7.9
3039,42,Captain America: The First Avenger,(2011),"Action, Adventure, Sci-Fi",6.9
3040,42,Kingsman: The Golden Circle,(2017),"Action, Adventure, Comedy",6.7
3041,42,Die Unglaublichen,(2004),"Animation, Action, Adventure",8.0
3042,42,Iron Man 2,(2010),"Action, Adventure, Sci-Fi",6.9
3043,42,Glass,(2019),"Drama, Horror, Sci-Fi",6.6
3044,42,Captain Marvel,(2019),"Action, Adventure, Sci-Fi",6.8
3045,42,Avengers: Age of Ultron,(2015),"Action, Adventure, Sci-Fi",7.3
